chassis,model,mul_id,year,BV,cost,level,techBase,techRating,type,subtype,omni,engine,engineRating,source,role,armorType,structureType,armor,armorPer,structure,heat,dissipation,dissipationEfficiency,moveType,walk,maxWalk,jump,maxJump,umu,c3,dpt,firepower,firepower (no oneshots),maxRange,components,quirks,cargo,dropshipCapacity,escapePods,lifeBoats,gravDecks,sailIntegrity,kfIntegrity
'Gestalt',D2X-G,4209,3078,2329,11834465,Experimental,Inner Sphere,F/X-X-F-F,Mek,BattleMek,0, XL,315,JFR,Striker,Heavy Ferro-Fibrous,Standard,148,97,75,40,20,-20,Biped,7,7,6,6,0,None,12.5,25,25,18,"2xER Medium Laser:LA, 1xHeavy PPC:RA, 1xPPC Capacitor:RA, 1xAngel ECM Suite:CT, 1xVoid Signature System:*, 1xHeavy Ferro-Fibrous Armor:Armor, 1xStandard Structure:Structure, 1x XL Engine:Engine",,,,,,,,
'Wing' Wraith,TR4,,3150,1548,17892890,Advanced,Inner Sphere,F/X-X-X-E,Mek,BattleMek,0, XL,330,Shrap17,None,Ferro-Fibrous,Endo-Composite,152,82,91,22,29,7,Biped,6,6,8,8,0,None,19,19,19,15,"1xPPC Capacitor:RA, 1xSupercharger:CT, 1xPartial Wing:RT/LT, 1xSnub-Nose PPC:RA, 1xMedium VSP Laser:LA, 1xFerro-Fibrous Armor:Armor, 1xEndo-Composite Structure:Structure, 1x XL Engine:Engine",,,,,,,,
'Wing' Wraith,TR4-X,,3150,1311,13820911,Advanced,Inner Sphere,F/X-X-X-E,Mek,BattleMek,0, XL,385,Shrap17,None,Ferro-Fibrous,Endo-Composite,152,82,91,17,23,6,Biped,7,7,9,9,0,None,13,13,13,18,"1xER Medium Laser:LA, 1xPPC Capacitor:RA, 1xER Small Laser:LA, 1xPartial Wing:RT/LT, 1xLight PPC:RA, 1xFerro-Fibrous Armor:Armor, 1xEndo-Composite Structure:Structure, 1x XL Engine:Engine",,,,,,,,
'Wing' Wraith,TR6,,3150,1581,17652640,Advanced,Inner Sphere,F/X-X-X-E,Mek,BattleMek,0, XL,330,Shrap17,None,Ferro-Fibrous,Endo-Composite,152,82,91,26,29,3,Biped,6,6,8,8,0,None,21,21,21,15,"1xLarge X-Pulse Laser:RA, 1xSupercharger:CT, 2xMedium X-Pulse Laser:LA, 1xPartial Wing:RT/LT, 1xFerro-Fibrous Armor:Armor, 1xEndo-Composite Structure:Structure, 1x XL Engine:Engine",,,,,,,,
'Wing' Wraith,TR7,,3150,2113,14196140,Advanced,Mixed,F/X-X-X-E,Mek,BattleMek,0, XL,330,Shrap17,None,Stealth,Endo-Composite,152,82,91,25,29,4,Biped,6,6,8,8,0,None,25,25,25,23,"2xER Medium Laser:LA, 1xER PPC:RA, 1xPartial Wing:RT/LT, 1xCargo:HD, 1xAngel ECM Suite:CT, 1xStealth Armor:Armor, 1xEndo-Composite Structure:Structure, 1x XL Engine:Engine",,,,,,,,
Agrotera,AGT-1A,6459,3108,1578,13192500,Advanced,Inner Sphere,F/X-X-F-E,Mek,BattleMek,0, XL,300,TR:3145:CC,Striker,Standard Armor,Endo Steel,152,90,83,30,23,-7,Biped,6,6,8,8,0,None,24.2,31,31,23,"1xER PPC:LA, 1xMedium VSP Laser:RA, 1xSmall Pulse Laser:LT, 1xFull Head Eject System:HD, 1xPartial Wing:RT/LT, 1xAES:LA, 1xMedium Pulse Laser:RA, 1xTAG:HD, 1xSmall Pulse Laser:RT, 1xStandard Armor:Armor, 1xEndo Steel Structure:Structure, 1x XL Engine:Engine",,,,,,,,
Agrotera,AGT-UA 'Ariel',8365,3137,1917,14059500,Experimental,Mixed,F/X-X-X-F*,Mek,BattleMek,0, XL,300,XTR:Royal Fantasy,Striker,Standard Armor,Endo Steel,160,95,83,34,20,-14,Biped,6,6,0,0,6,None,20,34,34,25,"1xER Large Laser:RA, 1xER Medium Laser:LA, 1xHarjel III:CT, 1xER Medium Laser:RA, 1xHarjel III:RT, 1xFull Head Eject System:HD, 1xER Large Laser:LA, 1xHarjel III:LT, 1xStandard Armor:Armor, 1xEndo Steel Structure:Structure, 1x XL Engine:Engine",,,,,,,,
Akuma,AKU-1X,3691,3058,1959,9517480,Standard,Inner Sphere,E/X-X-E-D,Mek,BattleMek,0, Fusion,270,TR:3067,Juggernaut,Standard Armor,Endo Steel,279,100,138,41,26,-15,Biped,3,3,0,0,0,None,40.1,81,81,23,"1xER PPC:LA, 1xLB 10-X Cluster Ammo:RT, 1xStreak SRM 6:CT, 1xMedium Pulse Laser:LA, 1xMRM 30:LT, 1xMedium Laser:RA, 1xLB 10-X Ammo:RT, 1xStreak SRM 6 Ammo:RT, 1xLB 10-X AC:RT, 2xMRM 30 Ammo:LT, 1xStreak SRM 4 Ammo:LA, 1xStreak SRM 4:LA, 1xStandard Armor:Armor, 1xEndo Steel Structure:Structure, 1x Fusion Engine:Engine",Easy to Maintain,,,,,,,
Akuma,AKU-1XJ,3692,3064,2203,9789655,Standard,Inner Sphere,E/X-X-E-D,Mek,BattleMek,0, Fusion,270,TR:3067,Juggernaut,Standard Armor,Endo Steel,279,100,138,40,20,-20,Biped,3,3,3,3,0,None,34.2,83,83,19,"2xMedium Pulse Laser:LA, 1xLB 20-X Cluster Ammo:RT, 1xMRM 40:LT, 1xLB 20-X Cluster Ammo:RA, 1xER Large Laser:LA, 3xMRM 40 Ammo:LT, 1xLB 20-X AC:RT, 1xER Small Laser:CT, 1xLB 20-X Ammo:RL, 1xStandard Armor:Armor, 1xEndo Steel Structure:Structure, 1x Fusion Engine:Engine",Easy to Maintain,,,,,,,
Akuma,AKU-2X,5713,3071,2122,11601780,Standard,Inner Sphere,E/X-X-E-D,Mek,BattleMek,0, Fusion,270,RS:3067u,Juggernaut,Standard Armor,Endo Steel,279,100,138,33,26,-7,Biped,3,3,0,0,0,C3 Slave,44.4,71,71,18,"1xLB 10-X Cluster Ammo:RT, 1xMedium Pulse Laser:LA, 1xApollo MRM FCS:LT, 1xLB 10-X Ammo:RT, 1xMRM 40:LT, 1xLB 10-X AC:RT, 1xCASE:LT, 1xC3 Slave:CT, 1xHeavy PPC:LA, 3xMRM 40 Ammo:LT, 1xCASE:RT, 1xStandard Armor:Armor, 1xEndo Steel Structure:Structure, 1x Fusion Engine:Engine",Easy to Maintain,,,,,,,
